filename,auction_date,auction_venue,auction_venue_round,lot_no,model_year_reiwa,make_model,grade,shift,engine_cc,mileage_km,inspection,color,model_code,result,final_bid_yen,starting_bid_yen,score,chassis_no,notes_text
WhatsApp Image 2026-01-25 at 3.33.23 PM (1).jpeg,2024-10-17,東京,1488回,73547,R05,MB CLAクラス,CLA250 4M AMGライン,CA,2000,16660,,グレー,118347M,落札,38450000,29800000,5,W1K1183472N307785,
WhatsApp Image 2026-01-25 at 3.33.23 PM.jpeg,2024-10-17,東京,1488回,75241,R05,ポル タイカン 5D 4W,GTS 4+1シート,AT,EV,7496,R08.09,ホワイト,J1NE,落札,91150000,74800000,4.5,WP0ZZZY1ZPSA85157,
WhatsApp Image 2026-01-25 at 3.33.24 PM (1).jpeg,2024-10-17,東京,1488回,12088,R05,GR86,RZ,AT,2400,4030,,パール,ZN8,落札,22250000,15900000,R,028109,
WhatsApp Image 2026-01-25 at 3.33.24 PM (2).jpeg,2024-10-18,名古屋,2057回,53013,R05,NX,NX250 バージョンL,FA,2500,5876,R08.03,パール,AAZA20,落札,50050000,25000000,5,AAZA20-6001762,
WhatsApp Image 2026-01-25 at 3.33.24 PM (3).jpeg,2024-10-18,大阪,1128回,299,R05,ランドクルーザ 4WD,ZX,FA,3500,14537,R08.04,パール,VJA300W,落札,83750000,69800000,4.5,VJA300-4081487,
WhatsApp Image 2026-01-25 at 3.33.24 PM.jpeg,2024-10-17,東京,1488回,25888,R05,RX 4WD,RX350 Fスポーツ,FA,2400,14393,R08.03,パール,TALA15,落札,75050000,54800000,5,TALA15-1001418,
WhatsApp Image 2026-01-25 at 3.33.25 PM (1).jpeg,2024-10-18,名古屋,2057回,58318,R02,BMW 4シリーズ CP,420i Mスポ,FA,2000,38040,R07.12,パール,12AP20,落札,34650000,21800000,4.5,WBA12AP000CF77328,
WhatsApp Image 2026-01-25 at 3.33.25 PM (2).jpeg,2024-10-18,名古屋,2057回,50256,R03,アルファード,2.5S Cパッケージ,AT,2500,48619,R08.03,パール,AGH30W,落札,43250000,32850000,4.5,AGH30-0362375,
WhatsApp Image 2026-01-25 at 3.33.25 PM (3).jpeg,2024-10-18,名古屋,2057回,50392,R05,NX,NX250 バージョンL,FA,2500,2402,R07.03,クロ,AAZA20,落札,50000000,37800000,5,AAZA20-6001728,
WhatsApp Image 2026-01-25 at 3.33.25 PM.jpeg,2024-10-18,名古屋,2057回,35408,R03,ハリアー,G レザーパッケージ,FA,2000,40252,R08.03,パール,MXUA80,落札,30400000,19800000,4.5,MXUA80-0040656,
